paradigm,beta_L,beta_Q,seed,f1_global_macro,f1_per_client_macro,mse_macro,ece_macro,MSE_AlveolarOsteitis,ECE_AlveolarOsteitis,MSE_SecondaryInfection,ECE_SecondaryInfection,MSE_NerveDysesthesia,ECE_NerveDysesthesia,MSE_Bleeding,ECE_Bleeding,F1_global_AlveolarOsteitis,F1_per_client_AlveolarOsteitis,F1_global_SecondaryInfection,F1_per_client_SecondaryInfection,F1_global_NerveDysesthesia,F1_per_client_NerveDysesthesia,F1_global_Bleeding,F1_per_client_Bleeding,fleiss_kappa_per_client_macro,fleiss_kappa_global_macro,partition_beta_L,partition_beta_Q,partition_label,partition_min_size,partition_mean_kl_divergence,partition_std_kl_divergence,partition_min_client_size,partition_max_client_size,partition_std_client_size
local,0.1,0.75,42,0.359651999824779,0.4269448385360373,0.030155333983020685,0.07922829416248325,0.021777074900455773,0.07667601975736518,0.03211330491176341,0.081158215063562,0.03309032274046331,0.07941285170080761,0.033640633379400244,0.07966609012819825,0.423301258498128,0.48745889519567365,0.41627135648548014,0.4618306140913607,0.2599166214155728,0.3789594407952494,0.33911876289993537,0.37953040406186545,0.15891065197737664,0.10934275466366182,0.1,0.75,Risk_Category_Composite,100,0.7609230349096743,0.580897129280521,159,17692,5486.175534924124
federated,0.1,0.75,42,0.6597036243224604,0.6277240126432861,0.00046883070081094047,0.0024813110952576004,0.0010176344076171517,0.004764173249403636,0.0007637180387973785,0.003208521688977877,5.824122854392044e-05,0.000814591534435749,3.572912828531116e-05,0.0011379579082131386,0.7841047338838588,0.6528395149740391,0.7566283033824378,0.6834069082113804,0.44799181731390086,0.5748700459727774,0.6500896427096443,0.5997795814149475,0.5736893319456858,1.0,0.1,0.75,Risk_Category_Composite,100,0.7609230349096743,0.580897129280521,159,17692,5486.175534924124
centralized,0.1,1.0,42,0.7603911801143792,0.6514114232491778,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6722784388080948,0.8186975270168998,0.6909860182434393,0.649784704401065,0.613335845369093,0.7395764364778438,0.6290453905760839,0.4942600993067512,1.0,0.1,1.0,Risk_Category_Composite,100,0.6391810922920238,0.5921558948801484,387,14444,4201.270569720546
local,0.1,1.0,42,0.3523915306266031,0.41230944589833857,0.009255904495603318,0.03518181891942707,0.006808113132137805,0.033889746268466116,0.007496465183794499,0.03214330342685183,0.007060749386437237,0.030093098137589792,0.01565829028004373,0.04460112784480055,0.4440090217791933,0.48307779771180126,0.41702427890615734,0.4674386139377761,0.25008318050306355,0.34495544431051534,0.2984496413179983,0.3537659276332617,0.18258800361865923,0.12450032816029397,0.1,1.0,Risk_Category_Composite,100,0.6391810922920238,0.5921558948801484,387,14444,4201.270569720546
federated,0.1,1.0,42,0.6440305200154588,0.6134725966681772,0.0005253992012512754,0.0015773676068832477,0.0011409411672502756,0.00187595305343469,0.0008564141462557018,0.0032490119636058804,6.755635695299134e-05,6.515998393297195e-05,3.668513454613276e-05,0.0011193454265594482,0.7685746823910788,0.6509119060279162,0.7311133135168824,0.6657179864989389,0.44519913661347843,0.5497527668434339,0.6312349475403957,0.5875077273024201,0.5420031879850736,1.0,0.1,1.0,Risk_Category_Composite,100,0.6391810922920238,0.5921558948801484,387,14444,4201.270569720546
centralized,0.1,1.5,42,0.7603911801143792,0.7231789200955246,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.7522927084633708,0.8186975270168998,0.7719494901397765,0.649784704401065,0.675744801555671,0.7395764364778438,0.6927286802232803,0.6612083450040745,1.0,0.1,1.5,Risk_Category_Composite,100,0.5143977273794487,0.6404272346529087,367,12906,3299.608522234115
local,0.1,1.5,42,0.3952401724051411,0.4528152052158484,0.005075094556377735,0.021923962194208675,0.005549471429549158,0.022747293673828245,0.005583367840154096,0.02410743435397744,0.005214222110225819,0.022153530454759797,0.003953316845581867,0.018687590294269224,0.5221781176008222,0.544325625258151,0.44198804141264614,0.510359073408916,0.2779297704439363,0.3717959795225485,0.33886476016315964,0.38478014267377836,0.22379428223969414,0.21146427488062025,0.1,1.5,Risk_Category_Composite,100,0.5143977273794487,0.6404272346529087,367,12906,3299.608522234115
federated,0.1,1.5,42,0.6215892533266426,0.6451497447769716,0.0005225857412369805,0.002586304217887422,0.0010830974206328392,0.003331118314216535,0.0008922042325139046,0.004080450142423312,7.560868834843859e-05,0.001562364399433136,3.943262345273979e-05,0.0013712840154767036,0.7618667909041735,0.7049426254548585,0.73610650405231,0.7189030231236492,0.3779550904940117,0.5520250151012006,0.6104286278560751,0.6047283154281777,0.713969264323613,1.0,0.1,1.5,Risk_Category_Composite,100,0.5143977273794487,0.6404272346529087,367,12906,3299.608522234115
centralized,0.1,2.0,42,0.7603911801143792,0.6178889855732886,0.000293035639970185,0.0020895439250937973,0.0006677682977169752,0.0035460359665254746,0.00044025119859725237,0.0030071095277865727,3.887034472427331e-05,0.0010539567338613172,2.525271884223912e-05,0.0007510734722018242,0.8335060525617083,0.6392344517107681,0.8186975270168998,0.6628269334380095,0.649784704401065,0.5816429084578622,0.7395764364778438,0.5878516486865147,0.4539212176669284,1.0,0.1,2.0,Risk_Category_Composite,100,0.5903549279255034,0.5076662753226219,629,11627,2860.302221794054
local,0.1,2.0,42,0.3493894987763335,0.4132680421385584,0.005130102834573336,0.027450971685039502,0.007330762001220137,0.03869379843051235,0.0048965727386530485,0.028427718127518892,0.004355210541689303,0.022138239121685426,0.003937866056730854,0.020544131060441336,0.41626077045797294,0.4683742605714329,0.41004417128380116,0.4656971678779295,0.261593678392951,0.35507784253116803,0.30965937497060914,0.3639228975737031,0.19808518625075772,0.1468601766035658,0.1,2.0,Risk_Category_Composite,100,0.5903549279255034,0.5076662753226219,629,11627,2860.302221794054
